"FIRST-BOOK-DATE","03/27/2025"
"EXM","DSANDS","","04/21/2025","04/28/2025","137","RQ"
"EXM","JFG","","04/21/2025","04/28/2025","101","RQ"
"HBA","JFG","","04/21/2025","04/28/2025","43","RQ"
"MEL","D5","","04/21/2025","04/28/2025","77","RQ"
"MEL","DSANDS","","04/21/2025","04/28/2025","122","RQ"
"MEL","JFG","","04/21/2025","04/28/2025","38","RQ"
"PER","D5","","04/21/2025","04/28/2025","93","RQ"
"PER","DSANDS","","04/21/2025","04/28/2025","133","RQ"
"PER","JFG","","04/21/2025","04/28/2025","83","RQ"
"SYD","D5","","04/21/2025","04/28/2025","77","RQ"
"SYD","DSANDS","","04/21/2025","04/28/2025","122","RQ"
"SYD","JFG","","04/21/2025","04/28/2025","33","RQ"
"ADL","D5","","04/28/2025","05/05/2025","77","RQ"
"ADL","DSANDS","","04/28/2025","05/05/2025","127","RQ"
"ADL","JFG","","04/28/2025","05/05/2025","31","RQ"
"ASP","D5","","04/28/2025","05/05/2025","77","RQ"
"ASP","DSANDS","","04/28/2025","05/05/2025","127","RQ"
"ASP","JFG","","04/28/2025","05/05/2025","64","RQ"
"BME","D5","","04/28/2025","05/05/2025","123","RQ"
"BME","DSANDS","","04/28/2025","05/05/2025","136","RQ"
"BME","JFG","","04/28/2025","05/05/2025","96","RQ"
"BNE","D5","","04/28/2025","05/05/2025","77","RQ"
"BNE","DSANDS","","04/28/2025","05/05/2025","127","RQ"
"BNE","JFG","","04/28/2025","05/05/2025","25","RQ"
"CNS","D5","","04/28/2025","05/05/2025","77","RQ"
"CNS","DSANDS","","04/28/2025","05/05/2025","127","RQ"
"CNS","JFG","","04/28/2025","05/05/2025","19","RQ"
"DWN","D5","","04/28/2025","05/05/2025","77","RQ"
"DWN","DSANDS","","04/28/2025","05/05/2025","128","RQ"
"DWN","JFG","","04/28/2025","05/05/2025","63","RQ"
"EXM","D5","","04/28/2025","05/05/2025","102","RQ"
"EXM","DSANDS","","04/28/2025","05/05/2025","136","RQ"
"EXM","JFG","","04/28/2025","05/05/2025","96","RQ"
"HBA","JFG","","04/28/2025","05/05/2025","36","RQ"
"MEL","D5","","04/28/2025","05/05/2025","77","RQ"
